wl,n
4.990000E+00,3.469849E+00
5.000000E+00,3.469848E+00
5.010000E+00,3.469848E+00
5.020000E+00,3.469848E+00
5.030000E+00,3.469848E+00
5.040000E+00,3.469848E+00
5.050000E+00,3.469848E+00
5.060000E+00,3.469848E+00
5.070000E+00,3.469848E+00
5.080000E+00,3.469848E+00
5.090000E+00,3.469848E+00
5.100000E+00,3.469847E+00
5.110000E+00,3.469847E+00
5.120000E+00,3.469847E+00
5.130000E+00,3.469847E+00
5.140000E+00,3.469847E+00
5.150000E+00,3.469847E+00
5.160000E+00,3.469847E+00
5.170000E+00,3.469847E+00
5.180000E+00,3.469847E+00
5.190000E+00,3.469847E+00
5.200000E+00,3.469846E+00
5.210000E+00,3.469846E+00
5.220000E+00,3.469846E+00
5.230000E+00,3.469846E+00
5.240000E+00,3.469846E+00
5.250000E+00,3.469846E+00
5.260000E+00,3.469846E+00
5.270000E+00,3.469846E+00
5.280000E+00,3.469846E+00
5.290000E+00,3.469845E+00
5.300000E+00,3.469845E+00
5.310000E+00,3.469845E+00
5.320000E+00,3.469845E+00
5.330000E+00,3.469845E+00
5.340000E+00,3.469845E+00
5.350000E+00,3.469845E+00
5.360000E+00,3.469845E+00
5.370000E+00,3.469845E+00
5.380000E+00,3.469844E+00
5.390000E+00,3.469844E+00
5.400000E+00,3.469844E+00
5.410000E+00,3.469844E+00
5.420000E+00,3.469844E+00
5.430000E+00,3.469844E+00
5.440000E+00,3.469844E+00
5.450000E+00,3.469844E+00
5.460000E+00,3.469843E+00
5.470000E+00,3.469843E+00
5.480000E+00,3.469843E+00
5.490000E+00,3.469843E+00
5.500000E+00,3.469843E+00
5.510000E+00,3.469843E+00
5.520000E+00,3.469843E+00
5.530000E+00,3.469843E+00
5.540000E+00,3.469842E+00
5.550000E+00,3.469842E+00
5.560000E+00,3.469842E+00
5.570000E+00,3.469842E+00
5.580000E+00,3.469842E+00
5.590000E+00,3.469842E+00
5.600000E+00,3.469842E+00
5.610000E+00,3.469842E+00
5.620000E+00,3.469842E+00
5.630000E+00,3.469841E+00
5.640000E+00,3.469841E+00
5.650000E+00,3.469841E+00
5.660000E+00,3.469841E+00
5.670000E+00,3.469841E+00
5.680000E+00,3.469841E+00
5.690000E+00,3.469841E+00
5.700000E+00,3.469840E+00
5.710000E+00,3.469840E+00
5.720000E+00,3.469840E+00
5.730000E+00,3.469840E+00
5.740000E+00,3.469840E+00
5.750000E+00,3.469840E+00
5.760000E+00,3.469840E+00
5.770000E+00,3.469840E+00
5.780000E+00,3.469839E+00
5.790000E+00,3.469839E+00
5.800000E+00,3.469839E+00
5.810000E+00,3.469839E+00
5.820000E+00,3.469839E+00
5.830000E+00,3.469839E+00
5.840000E+00,3.469839E+00
5.850000E+00,3.469839E+00
5.860000E+00,3.469838E+00
5.870000E+00,3.469838E+00
5.880000E+00,3.469838E+00
5.890000E+00,3.469838E+00
5.900000E+00,3.469838E+00
5.910000E+00,3.469838E+00
5.920000E+00,3.469838E+00
5.930000E+00,3.469837E+00
5.940000E+00,3.469837E+00
5.950000E+00,3.469837E+00
5.960000E+00,3.469837E+00
5.970000E+00,3.469837E+00
5.980000E+00,3.469837E+00
5.990000E+00,3.469837E+00
6.000000E+00,3.469836E+00
6.010000E+00,3.469836E+00
6.020000E+00,3.469836E+00
6.030000E+00,3.469836E+00
6.040000E+00,3.469836E+00
6.050000E+00,3.469836E+00
6.060000E+00,3.469836E+00
6.070000E+00,3.469835E+00
6.080000E+00,3.469835E+00
6.090000E+00,3.469835E+00
6.100000E+00,3.469835E+00
6.110000E+00,3.469835E+00
6.120000E+00,3.469835E+00
6.130000E+00,3.469835E+00
6.140000E+00,3.469834E+00
6.150000E+00,3.469834E+00
6.160000E+00,3.469834E+00
6.170000E+00,3.469834E+00
6.180000E+00,3.469834E+00
6.190000E+00,3.469834E+00
6.200000E+00,3.469833E+00
6.210000E+00,3.469833E+00
6.220000E+00,3.469833E+00
6.230000E+00,3.469833E+00
6.240000E+00,3.469833E+00
6.250000E+00,3.469833E+00
6.260000E+00,3.469833E+00
6.270000E+00,3.469832E+00
6.280000E+00,3.469832E+00
6.290000E+00,3.469832E+00
6.300000E+00,3.469832E+00
6.310000E+00,3.469832E+00
6.320000E+00,3.469832E+00
6.330000E+00,3.469831E+00
6.340000E+00,3.469831E+00
6.350000E+00,3.469831E+00
6.360000E+00,3.469831E+00
6.370000E+00,3.469831E+00
6.380000E+00,3.469831E+00
6.390000E+00,3.469830E+00
6.400000E+00,3.469830E+00
6.410000E+00,3.469830E+00
6.420000E+00,3.469830E+00
6.430000E+00,3.469830E+00
6.440000E+00,3.469830E+00
6.450000E+00,3.469829E+00
6.460000E+00,3.469829E+00
6.470000E+00,3.469829E+00
6.480000E+00,3.469829E+00
6.490000E+00,3.469829E+00
6.500000E+00,3.469829E+00
6.510000E+00,3.469828E+00
6.520000E+00,3.469828E+00
6.530000E+00,3.469828E+00
6.540000E+00,3.469828E+00
6.550000E+00,3.469828E+00
6.560000E+00,3.469828E+00
6.570000E+00,3.469827E+00
6.580000E+00,3.469827E+00
6.590000E+00,3.469827E+00
6.600000E+00,3.469827E+00
6.610000E+00,3.469827E+00
6.620000E+00,3.469826E+00
6.630000E+00,3.469826E+00
6.640000E+00,3.469826E+00
6.650000E+00,3.469826E+00
6.660000E+00,3.469826E+00
6.670000E+00,3.469826E+00
6.680000E+00,3.469825E+00
6.690000E+00,3.469825E+00
6.700000E+00,3.469825E+00
6.710000E+00,3.469825E+00
6.720000E+00,3.469825E+00
6.730000E+00,3.469824E+00
6.740000E+00,3.469824E+00
6.750000E+00,3.469824E+00
6.760000E+00,3.469824E+00
6.770000E+00,3.469824E+00
6.780000E+00,3.469823E+00
6.790000E+00,3.469823E+00
6.800000E+00,3.469823E+00
6.810000E+00,3.469823E+00
6.820000E+00,3.469823E+00
6.830000E+00,3.469822E+00
6.840000E+00,3.469822E+00
6.850000E+00,3.469822E+00
6.860000E+00,3.469822E+00
6.870000E+00,3.469822E+00
6.880000E+00,3.469821E+00
6.890000E+00,3.469821E+00
6.900000E+00,3.469821E+00
6.910000E+00,3.469821E+00
6.920000E+00,3.469821E+00
6.930000E+00,3.469820E+00
6.940000E+00,3.469820E+00
6.950000E+00,3.469820E+00
6.960000E+00,3.469820E+00
6.970000E+00,3.469820E+00
6.980000E+00,3.469819E+00
6.990000E+00,3.469819E+00
7.000000E+00,3.469819E+00
7.010000E+00,3.469819E+00
7.020000E+00,3.469819E+00
7.030000E+00,3.469818E+00
7.040000E+00,3.469818E+00
7.050000E+00,3.469818E+00
7.060000E+00,3.469818E+00
7.070000E+00,3.469817E+00
7.080000E+00,3.469817E+00
7.090000E+00,3.469817E+00
7.100000E+00,3.469817E+00
7.110000E+00,3.469817E+00
7.120000E+00,3.469816E+00
7.130000E+00,3.469816E+00
7.140000E+00,3.469816E+00
7.150000E+00,3.469816E+00
7.160000E+00,3.469815E+00
7.170000E+00,3.469815E+00
7.180000E+00,3.469815E+00
7.190000E+00,3.469815E+00
7.200000E+00,3.469814E+00
7.210000E+00,3.469814E+00
7.220000E+00,3.469814E+00
7.230000E+00,3.469814E+00
7.240000E+00,3.469814E+00
7.250000E+00,3.469813E+00
7.260000E+00,3.469813E+00
7.270000E+00,3.469813E+00
7.280000E+00,3.469813E+00
7.290000E+00,3.469812E+00
7.300000E+00,3.469812E+00
7.310000E+00,3.469812E+00
7.320000E+00,3.469812E+00
7.330000E+00,3.469811E+00
7.340000E+00,3.469811E+00
7.350000E+00,3.469811E+00
7.360000E+00,3.469811E+00
7.370000E+00,3.469810E+00
7.380000E+00,3.469810E+00
7.390000E+00,3.469810E+00
7.400000E+00,3.469809E+00
7.410000E+00,3.469809E+00
7.420000E+00,3.469809E+00
7.430000E+00,3.469809E+00
7.440000E+00,3.469808E+00
7.450000E+00,3.469808E+00
7.460000E+00,3.469808E+00
7.470000E+00,3.469808E+00
7.480000E+00,3.469807E+00
7.490000E+00,3.469807E+00
7.500000E+00,3.469807E+00
7.510000E+00,3.469807E+00
7.520000E+00,3.469806E+00
7.530000E+00,3.469806E+00
7.540000E+00,3.469806E+00
7.550000E+00,3.469805E+00
7.560000E+00,3.469805E+00
7.570000E+00,3.469805E+00
7.580000E+00,3.469804E+00
7.590000E+00,3.469804E+00
7.600000E+00,3.469804E+00
